LSOA Code,Arson and Criminal Damage,Burglary,Drug Offences,Miscellaneous Crimes Against Society,Possession of Weapons,Public Order Offences,Robbery,Theft,Vehicle Offences,Violence Against the Person,Total_crime
E01000006,0.0,0.1111111111111111,0.0,0.037037037037037035,0.0,0.0,0.1111111111111111,0.037037037037037035,0.2222222222222222,0.48148148148148145,27
E01000007,0.042105263157894736,0.05263157894736842,0.23157894736842105,0.031578947368421054,0.0,0.06315789473684211,0.042105263157894736,0.3157894736842105,0.05263157894736842,0.16842105263157894,95
E01000008,0.10344827586206896,0.034482758620689655,0.06896551724137931,0.0,0.0,0.13793103448275862,0.0,0.3103448275862069,0.1724137931034483,0.1724137931034483,29
E01000009,0.0425531914893617,0.0425531914893617,0.0851063829787234,0.0,0.0,0.0425531914893617,0.06382978723404255,0.3191489361702128,0.10638297872340426,0.2978723404255319,47
E01000010,0.036885245901639344,0.06557377049180328,0.06147540983606557,0.004098360655737705,0.00819672131147541,0.05737704918032787,0.045081967213114756,0.430327868852459,0.0778688524590164,0.21311475409836064,244
E01000011,0.0625,0.0625,0.1875,0.0,0.0,0.0,0.0,0.125,0.3125,0.25,16
E01000012,0.09375,0.1875,0.15625,0.0,0.03125,0.0625,0.0,0.0625,0.03125,0.375,32
E01000013,0.0784313725490196,0.13725490196078433,0.0392156862745098,0.0,0.0,0.0392156862745098,0.09803921568627451,0.2549019607843137,0.0784313725490196,0.27450980392156865,51
E01000014,0.08695652173913043,0.08695652173913043,0.0,0.043478260869565216,0.0,0.043478260869565216,0.0,0.08695652173913043,0.17391304347826086,0.4782608695652174,23
E01000015,0.13333333333333333,0.2,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.2,0.3333333333333333,15
E01000016,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.5555555555555556,9
E01000017,0.0625,0.1875,0.0,0.0,0.0,0.0,0.0625,0.1875,0.1875,0.3125,16
E01000018,0.1111111111111111,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.05555555555555555,0.4444444444444444,18
